Medu,Fedu,studytime,failures,Dalc,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,internet_yes
4,4,2,0,1,4,0.0,5.5,5.5,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,0,1,2,4.5,5.5,5.5,0,0,0,0,0,1,0,0,0,0,0,1
1,1,2,0,2,6,6.0,6.5,6.0,0,0,0,0,0,1,0,0,0,1,0,1
4,2,3,0,1,0,7.0,7.0,7.0,1,0,0,0,0,0,1,0,1,0,0,1
3,3,2,0,1,0,5.5,6.5,6.5,0,1,0,0,0,1,0,0,1,0,0,0
4,3,2,0,1,6,6.0,6.0,6.5,0,0,1,0,0,1,0,0,0,0,1,1
2,2,2,0,1,0,6.5,6.0,6.5,0,1,0,0,0,1,0,0,1,0,0,1
4,4,2,0,1,2,5.0,6.5,6.5,0,1,0,0,0,0,0,1,1,0,0,0
3,2,2,0,1,0,7.5,8.0,8.5,0,0,1,0,0,1,0,0,1,0,0,1
3,4,2,0,1,0,6.0,6.0,6.5,0,1,0,0,0,1,0,0,1,0,0,1
4,4,2,0,1,2,7.0,7.0,7.0,0,0,0,1,1,0,0,0,0,0,1,1
2,1,3,0,1,0,5.0,6.0,6.5,0,0,1,0,0,1,0,0,0,0,1,1
4,4,1,0,1,0,6.0,6.5,6.0,1,0,0,0,0,0,1,0,0,0,0,1
4,3,2,0,1,0,6.0,6.0,6.5,0,0,0,1,0,1,0,0,0,0,0,1
2,2,3,0,1,0,7.0,7.0,7.5,0,1,0,0,0,1,0,0,1,0,0,1
4,4,1,0,1,6,8.5,8.5,8.5,1,0,0,0,0,1,0,0,1,0,0,1
4,4,3,0,1,10,6.5,6.5,7.0,0,0,1,0,0,0,1,0,0,0,1,1
3,3,2,0,1,2,6.5,7.0,7.0,0,1,0,0,0,1,0,0,0,0,1,0
3,2,1,3,2,2,4.0,4.0,3.5,0,0,1,0,0,0,1,0,0,0,0,1
4,3,1,0,1,6,6.0,6.0,6.0,1,0,0,0,0,1,0,0,1,0,0,1
4,3,2,0,1,0,6.0,6.5,7.0,0,0,0,1,0,1,0,0,0,0,1,1
4,4,1,0,1,0,5.5,6.0,6.0,1,0,0,0,1,0,0,0,0,1,0,1
4,2,2,0,1,0,6.0,6.5,7.0,0,0,0,1,0,1,0,0,0,0,0,1
2,2,2,0,2,2,5.0,5.0,5.0,0,1,0,0,0,1,0,0,0,0,1,1
2,4,3,0,1,2,5.0,5.5,5.0,0,0,1,0,1,0,0,0,0,0,0,1
2,2,1,0,1,6,5.0,5.5,6.0,0,0,1,0,0,0,1,0,1,0,0,1
2,2,1,0,1,8,5.5,6.0,6.0,0,1,0,0,0,1,0,0,1,0,0,1
4,2,1,0,2,0,5.5,5.5,5.5,1,0,0,0,0,0,1,0,0,1,0,1
3,4,2,0,1,2,6.0,6.0,6.5,0,0,1,0,0,1,0,0,1,0,0,1
4,4,2,0,5,4,6.0,5.5,6.0,0,0,0,1,0,0,0,1,1,0,0,1
4,4,2,0,3,0,5.0,5.5,5.5,1,0,0,0,0,0,1,0,1,0,0,1
4,4,2,0,1,2,7.5,7.5,7.5,0,0,1,0,0,0,1,0,0,0,1,1
4,3,2,0,1,0,6.5,7.0,7.5,0,0,0,1,0,0,0,0,0,0,0,1
3,3,2,0,1,0,6.5,6.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1
3,2,1,0,1,4,6.0,6.0,6.0,0,1,0,0,0,1,0,0,1,0,0,1
2,3,1,0,1,4,5.5,5.5,5.5,0,1,0,0,0,1,0,0,0,1,0,0
4,3,3,0,1,0,7.0,7.0,7.0,0,0,0,1,0,0,1,0,1,0,0,1
